	Item	Quantity	Expiration_Date	Cost_Per_Unit	Date
1037	Curd	386	2025-02-27	45	2025-02-25
1038	Paneer	56	2025-02-27	45	2025-02-25
1039	Butter	277	2025-02-27	45	2025-02-25
1040	Cheese	146	2025-02-26	45	2025-02-25
1041	Samosa	193	2025-03-05	15	2025-02-25
1042	Kachori	185	2025-03-08	15	2025-02-25
1043	Dhokla	212	2025-03-08	15	2025-02-25
1044	Vada Pav	476	2025-03-05	15	2025-02-25
1045	Pani Puri	315	2025-03-09	15	2025-02-25
1046	Cookies	112	2025-03-04	10	2025-02-25
1047	Masala Puri	176	2025-03-11	15	2025-02-25
1048	Samosa Chaat	62	2025-03-06	15	2025-02-25
1049	Small Mixture	476	2025-03-06	10	2025-02-25
1050	Tomato Ketchup	102	2025-04-19	10	2025-02-25
1051	Milk Bread	279	2025-03-06	20	2025-02-26
1052	Brown Bread	268	2025-03-05	20	2025-02-26
1053	Multigrain Bread	114	2025-03-09	20	2025-02-26
1054	Pav Bun	82	2025-03-11	20	2025-02-26
1055	Plain Cake	361	2025-03-10	150	2025-02-26
1056	Chilli Sauce	270	2025-04-14	10	2025-02-26
1057	Rasgulla	64	2025-03-01	35	2025-02-26
1058	Jalebi	427	2025-03-01	35	2025-02-26
1059	Soy Sauce	103	2025-04-07	10	2025-02-26
1060	Water	468	2025-04-05	10	2025-02-26
1061	Chocolate Cake	368	2025-03-08	150	2025-02-26
1062	Vanilla Cake	226	2025-03-05	150	2025-02-26
1063	Black Forest Cake	222	2025-03-12	150	2025-02-26
1064	Pineapple Cake	468	2025-03-07	150	2025-02-26
1065	Red Velvet Cake	135	2025-03-08	150	2025-02-26
1066	Milk	373	2025-02-28	45	2025-02-26
1067	Curd	451	2025-02-27	45	2025-02-26
1068	Paneer	281	2025-02-28	45	2025-02-26
1069	Butter	282	2025-02-27	45	2025-02-26
1070	Cheese	398	2025-03-01	45	2025-02-26
1071	Samosa	87	2025-03-11	15	2025-02-26
1072	Kachori	432	2025-03-06	15	2025-02-26
1073	Dhokla	226	2025-03-06	15	2025-02-26
1074	Vada Pav	336	2025-03-05	15	2025-02-26
1075	Pani Puri	398	2025-03-11	15	2025-02-26
1076	Cookies	54	2025-03-08	10	2025-02-26
1077	Masala Puri	104	2025-03-05	15	2025-02-26
1078	Samosa Chaat	233	2025-03-05	15	2025-02-26
1079	Small Mixture	200	2025-03-07	10	2025-02-26
1080	Tomato Ketchup	303	2025-03-30	10	2025-02-26
1081	Milk Bread	496	2025-03-11	20	2025-02-27
1082	Brown Bread	476	2025-03-08	20	2025-02-27
1083	Multigrain Bread	71	2025-03-13	20	2025-02-27
1084	Pav Bun	222	2025-03-12	20	2025-02-27
1085	Plain Cake	258	2025-03-09	150	2025-02-27
1086	Chilli Sauce	458	2025-04-06	10	2025-02-27
1087	Rasgulla	80	2025-03-02	35	2025-02-27
1088	Jalebi	472	2025-03-01	35	2025-02-27
1089	Soy Sauce	154	2025-03-30	10	2025-02-27
1090	Water	265	2025-04-27	10	2025-02-27
1091	Chocolate Cake	275	2025-03-06	150	2025-02-27
1092	Vanilla Cake	479	2025-03-11	150	2025-02-27
1093	Black Forest Cake	270	2025-03-12	150	2025-02-27
1094	Pineapple Cake	475	2025-03-10	150	2025-02-27
1095	Red Velvet Cake	458	2025-03-13	150	2025-02-27
1096	Milk	302	2025-03-01	45	2025-02-27
1097	Curd	247	2025-03-02	45	2025-02-27
1098	Paneer	169	2025-03-02	45	2025-02-27
1099	Butter	126	2025-03-02	45	2025-02-27
1100	Cheese	413	2025-02-28	45	2025-02-27
1101	Samosa	257	2025-03-06	15	2025-02-27
1102	Kachori	492	2025-03-13	15	2025-02-27
1103	Dhokla	295	2025-03-10	15	2025-02-27
1104	Vada Pav	376	2025-03-13	15	2025-02-27
1105	Pani Puri	106	2025-03-11	15	2025-02-27
1106	Cookies	165	2025-03-08	10	2025-02-27
1107	Masala Puri	199	2025-03-11	15	2025-02-27
1108	Samosa Chaat	272	2025-03-12	15	2025-02-27
1109	Small Mixture	339	2025-03-12	10	2025-02-27
1110	Tomato Ketchup	74	2025-04-22	10	2025-02-27
1111	Milk Bread	288	2025-03-11	20	2025-02-28
1112	Brown Bread	67	2025-03-07	20	2025-02-28
1113	Multigrain Bread	150	2025-03-13	20	2025-02-28
1114	Pav Bun	106	2025-03-14	20	2025-02-28
1115	Plain Cake	343	2025-03-14	150	2025-02-28
1116	Chilli Sauce	272	2025-04-16	10	2025-02-28
1117	Rasgulla	495	2025-03-02	35	2025-02-28
1118	Jalebi	338	2025-03-02	35	2025-02-28
1119	Soy Sauce	369	2025-04-20	10	2025-02-28
1120	Water	134	2025-04-04	10	2025-02-28
1121	Chocolate Cake	276	2025-03-14	150	2025-02-28
1122	Vanilla Cake	184	2025-03-13	150	2025-02-28
1123	Black Forest Cake	156	2025-03-10	150	2025-02-28
1124	Pineapple Cake	119	2025-03-14	150	2025-02-28
1125	Red Velvet Cake	436	2025-03-14	150	2025-02-28
1126	Milk	371	2025-03-03	45	2025-02-28
1127	Curd	69	2025-03-02	45	2025-02-28
1128	Paneer	64	2025-03-03	45	2025-02-28
1129	Butter	162	2025-03-02	45	2025-02-28
1130	Cheese	437	2025-03-03	45	2025-02-28
1131	Samosa	166	2025-03-08	15	2025-02-28
1132	Kachori	443	2025-03-07	15	2025-02-28
1133	Dhokla	85	2025-03-09	15	2025-02-28
1134	Vada Pav	493	2025-03-14	15	2025-02-28
1135	Pani Puri	90	2025-03-07	15	2025-02-28
1136	Cookies	423	2025-03-09	10	2025-02-28
1137	Masala Puri	109	2025-03-13	15	2025-02-28
1138	Samosa Chaat	208	2025-03-08	15	2025-02-28
1139	Small Mixture	94	2025-03-09	10	2025-02-28
1140	Tomato Ketchup	487	2025-04-12	10	2025-02-28
1141	Milk Bread	240	2025-03-08	20	2025-03-01
1142	Brown Bread	249	2025-03-10	20	2025-03-01
1143	Multigrain Bread	93	2025-03-13	20	2025-03-01
1144	Pav Bun	218	2025-03-15	20	2025-03-01
1145	Plain Cake	243	2025-03-08	150	2025-03-01
1146	Chilli Sauce	271	2025-04-22	10	2025-03-01
1147	Rasgulla	50	2025-03-04	35	2025-03-01
1148	Jalebi	337	2025-03-03	35	2025-03-01
1149	Soy Sauce	432	2025-04-23	10	2025-03-01
1150	Water	178	2025-04-29	10	2025-03-01
1151	Chocolate Cake	415	2025-03-14	150	2025-03-01
1152	Vanilla Cake	126	2025-03-10	150	2025-03-01
1153	Black Forest Cake	65	2025-03-15	150	2025-03-01
1154	Pineapple Cake	394	2025-03-15	150	2025-03-01
1155	Red Velvet Cake	144	2025-03-11	150	2025-03-01
1156	Milk	308	2025-03-04	45	2025-03-01
1157	Curd	475	2025-03-02	45	2025-03-01
1158	Paneer	354	2025-03-03	45	2025-03-01
1159	Butter	251	2025-03-03	45	2025-03-01
1160	Cheese	177	2025-03-04	45	2025-03-01
1161	Samosa	147	2025-03-10	15	2025-03-01
1162	Kachori	124	2025-03-13	15	2025-03-01
1163	Dhokla	368	2025-03-12	15	2025-03-01
1164	Vada Pav	81	2025-03-15	15	2025-03-01
1165	Pani Puri	279	2025-03-08	15	2025-03-01
1166	Cookies	86	2025-03-11	10	2025-03-01
1167	Masala Puri	400	2025-03-13	15	2025-03-01
1168	Samosa Chaat	217	2025-03-12	15	2025-03-01
1169	Small Mixture	244	2025-03-15	10	2025-03-01
1170	Tomato Ketchup	111	2025-04-02	10	2025-03-01
1171	Milk Bread	445	2025-03-13	20	2025-03-02
1172	Brown Bread	401	2025-03-13	20	2025-03-02
1173	Multigrain Bread	350	2025-03-14	20	2025-03-02
1174	Pav Bun	480	2025-03-14	20	2025-03-02
1175	Plain Cake	386	2025-03-16	150	2025-03-02
1176	Chilli Sauce	409	2025-04-08	10	2025-03-02
1177	Rasgulla	354	2025-03-05	35	2025-03-02
1178	Jalebi	185	2025-03-03	35	2025-03-02
1179	Soy Sauce	242	2025-04-08	10	2025-03-02
1180	Water	140	2025-04-25	10	2025-03-02
1181	Chocolate Cake	426	2025-03-16	150	2025-03-02
1182	Vanilla Cake	137	2025-03-10	150	2025-03-02
1183	Black Forest Cake	276	2025-03-13	150	2025-03-02
1184	Pineapple Cake	81	2025-03-09	150	2025-03-02
1185	Red Velvet Cake	213	2025-03-09	150	2025-03-02
1186	Milk	178	2025-03-05	45	2025-03-02
1187	Curd	157	2025-03-03	45	2025-03-02
1188	Paneer	269	2025-03-03	45	2025-03-02
1189	Butter	432	2025-03-05	45	2025-03-02
1190	Cheese	149	2025-03-05	45	2025-03-02
1191	Samosa	157	2025-03-10	15	2025-03-02
1192	Kachori	254	2025-03-09	15	2025-03-02
1193	Dhokla	430	2025-03-16	15	2025-03-02
1194	Vada Pav	364	2025-03-16	15	2025-03-02
1195	Pani Puri	244	2025-03-15	15	2025-03-02
1196	Cookies	487	2025-03-16	10	2025-03-02
1197	Masala Puri	425	2025-03-12	15	2025-03-02
1198	Samosa Chaat	341	2025-03-10	15	2025-03-02
1199	Small Mixture	350	2025-03-14	10	2025-03-02
1200	Tomato Ketchup	235	2025-04-25	10	2025-03-02
1201	Milk Bread	193	2025-03-11	20	2025-03-03
1202	Brown Bread	419	2025-03-15	20	2025-03-03
1203	Multigrain Bread	150	2025-03-15	20	2025-03-03
1204	Pav Bun	328	2025-03-15	20	2025-03-03
1205	Plain Cake	207	2025-03-14	150	2025-03-03
1206	Chilli Sauce	400	2025-04-24	10	2025-03-03
1207	Rasgulla	208	2025-03-06	35	2025-03-03
1208	Jalebi	272	2025-03-06	35	2025-03-03
1209	Soy Sauce	286	2025-04-13	10	2025-03-03
1210	Water	272	2025-04-13	10	2025-03-03
1211	Chocolate Cake	390	2025-03-15	150	2025-03-03
1212	Vanilla Cake	76	2025-03-12	150	2025-03-03
1213	Black Forest Cake	325	2025-03-13	150	2025-03-03
1214	Pineapple Cake	221	2025-03-11	150	2025-03-03
1215	Red Velvet Cake	436	2025-03-12	150	2025-03-03
1216	Milk	76	2025-03-06	45	2025-03-03
1217	Curd	175	2025-03-06	45	2025-03-03
1218	Paneer	210	2025-03-05	45	2025-03-03
1219	Butter	99	2025-03-05	45	2025-03-03
1220	Cheese	276	2025-03-06	45	2025-03-03
1221	Samosa	467	2025-03-11	15	2025-03-03
1222	Kachori	182	2025-03-16	15	2025-03-03
1223	Dhokla	209	2025-03-17	15	2025-03-03
1224	Vada Pav	370	2025-03-10	15	2025-03-03
1225	Pani Puri	126	2025-03-12	15	2025-03-03
1226	Cookies	251	2025-03-11	10	2025-03-03
1227	Masala Puri	103	2025-03-12	15	2025-03-03
1228	Samosa Chaat	480	2025-03-13	15	2025-03-03
1229	Small Mixture	411	2025-03-16	10	2025-03-03
1230	Tomato Ketchup	127	2025-04-06	10	2025-03-03
1231	Milk Bread	314	2025-03-14	20	2025-03-04
1232	Brown Bread	255	2025-03-13	20	2025-03-04
1233	Multigrain Bread	242	2025-03-16	20	2025-03-04
1234	Pav Bun	494	2025-03-18	20	2025-03-04
1235	Plain Cake	363	2025-03-12	150	2025-03-04
1236	Chilli Sauce	130	2025-04-13	10	2025-03-04
1237	Rasgulla	161	2025-03-06	35	2025-03-04
1238	Jalebi	111	2025-03-05	35	2025-03-04
1239	Soy Sauce	92	2025-04-19	10	2025-03-04
1240	Water	436	2025-04-10	10	2025-03-04
1241	Chocolate Cake	116	2025-03-11	150	2025-03-04
1242	Vanilla Cake	489	2025-03-14	150	2025-03-04
1243	Black Forest Cake	56	2025-03-12	150	2025-03-04
1244	Pineapple Cake	116	2025-03-18	150	2025-03-04
1245	Red Velvet Cake	163	2025-03-16	150	2025-03-04
1246	Milk	165	2025-03-07	45	2025-03-04
1247	Curd	287	2025-03-07	45	2025-03-04
1248	Paneer	71	2025-03-07	45	2025-03-04
1249	Butter	84	2025-03-06	45	2025-03-04
1250	Cheese	165	2025-03-06	45	2025-03-04
1251	Samosa	418	2025-03-11	15	2025-03-04
1252	Kachori	139	2025-03-11	15	2025-03-04
1253	Dhokla	108	2025-03-16	15	2025-03-04
1254	Vada Pav	443	2025-03-13	15	2025-03-04
1255	Pani Puri	425	2025-03-16	15	2025-03-04
1256	Cookies	128	2025-03-16	10	2025-03-04
1257	Masala Puri	96	2025-03-17	15	2025-03-04
1258	Samosa Chaat	317	2025-03-16	15	2025-03-04
1259	Small Mixture	212	2025-03-11	10	2025-03-04
1260	Tomato Ketchup	469	2025-04-13	10	2025-03-04
1261	Milk Bread	335	2025-03-19	20	2025-03-05
1262	Brown Bread	95	2025-03-19	20	2025-03-05
1263	Multigrain Bread	264	2025-03-13	20	2025-03-05
1264	Pav Bun	113	2025-03-19	20	2025-03-05
1265	Plain Cake	460	2025-03-17	150	2025-03-05
1266	Chilli Sauce	110	2025-04-26	10	2025-03-05
1267	Rasgulla	225	2025-03-07	35	2025-03-05
1268	Jalebi	249	2025-03-08	35	2025-03-05
1269	Soy Sauce	498	2025-04-22	10	2025-03-05
1270	Water	442	2025-04-29	10	2025-03-05
1271	Chocolate Cake	155	2025-03-12	150	2025-03-05
1272	Vanilla Cake	176	2025-03-18	150	2025-03-05
1273	Black Forest Cake	50	2025-03-15	150	2025-03-05
1274	Pineapple Cake	189	2025-03-19	150	2025-03-05
1275	Red Velvet Cake	147	2025-03-14	150	2025-03-05
1276	Milk	124	2025-03-07	45	2025-03-05
1277	Curd	473	2025-03-08	45	2025-03-05
1278	Paneer	412	2025-03-06	45	2025-03-05
1279	Butter	312	2025-03-07	45	2025-03-05
1280	Cheese	115	2025-03-07	45	2025-03-05
1281	Samosa	417	2025-03-12	15	2025-03-05
1282	Kachori	358	2025-03-14	15	2025-03-05
1283	Dhokla	447	2025-03-14	15	2025-03-05
1284	Vada Pav	292	2025-03-15	15	2025-03-05
1285	Pani Puri	213	2025-03-13	15	2025-03-05
1286	Cookies	336	2025-03-17	10	2025-03-05
1287	Masala Puri	435	2025-03-15	15	2025-03-05
1288	Samosa Chaat	361	2025-03-15	15	2025-03-05
1289	Small Mixture	314	2025-03-18	10	2025-03-05
1290	Tomato Ketchup	350	2025-04-06	10	2025-03-05
1291	Milk Bread	413	2025-03-17	20	2025-03-06
1292	Brown Bread	436	2025-03-18	20	2025-03-06
1293	Multigrain Bread	279	2025-03-20	20	2025-03-06
1294	Pav Bun	157	2025-03-16	20	2025-03-06
1295	Plain Cake	316	2025-03-15	150	2025-03-06
1296	Chilli Sauce	281	2025-04-21	10	2025-03-06
1297	Rasgulla	202	2025-03-08	35	2025-03-06
1298	Jalebi	124	2025-03-07	35	2025-03-06
1299	Soy Sauce	196	2025-04-18	10	2025-03-06
1300	Water	492	2025-04-25	10	2025-03-06
1301	Chocolate Cake	148	2025-03-18	150	2025-03-06
1302	Vanilla Cake	232	2025-03-17	150	2025-03-06
1303	Black Forest Cake	137	2025-03-18	150	2025-03-06
1304	Pineapple Cake	354	2025-03-15	150	2025-03-06
1305	Red Velvet Cake	428	2025-03-20	150	2025-03-06
1306	Milk	106	2025-03-08	45	2025-03-06
1307	Curd	304	2025-03-07	45	2025-03-06
1308	Paneer	393	2025-03-07	45	2025-03-06
1309	Butter	190	2025-03-08	45	2025-03-06
1310	Cheese	300	2025-03-07	45	2025-03-06
1311	Samosa	73	2025-03-15	15	2025-03-06
1312	Kachori	332	2025-03-16	15	2025-03-06
1313	Dhokla	484	2025-03-19	15	2025-03-06
1314	Vada Pav	377	2025-03-13	15	2025-03-06
1315	Pani Puri	419	2025-03-20	15	2025-03-06
1316	Cookies	244	2025-03-15	10	2025-03-06
1317	Masala Puri	136	2025-03-19	15	2025-03-06
1318	Samosa Chaat	141	2025-03-16	15	2025-03-06
1319	Small Mixture	349	2025-03-15	10	2025-03-06
1320	Tomato Ketchup	369	2025-05-03	10	2025-03-06
1321	Milk Bread	348	2025-03-20	20	2025-03-07
1322	Brown Bread	306	2025-03-21	20	2025-03-07
1323	Multigrain Bread	325	2025-03-17	20	2025-03-07
1324	Pav Bun	294	2025-03-16	20	2025-03-07
1325	Plain Cake	451	2025-03-15	150	2025-03-07
1326	Chilli Sauce	376	2025-04-10	10	2025-03-07
1327	Rasgulla	366	2025-03-10	35	2025-03-07
1328	Jalebi	186	2025-03-10	35	2025-03-07
1329	Soy Sauce	305	2025-04-20	10	2025-03-07
1330	Water	473	2025-04-17	10	2025-03-07
1331	Chocolate Cake	215	2025-03-17	150	2025-03-07
1332	Vanilla Cake	246	2025-03-20	150	2025-03-07
1333	Black Forest Cake	461	2025-03-16	150	2025-03-07
1334	Pineapple Cake	450	2025-03-19	150	2025-03-07
1335	Red Velvet Cake	437	2025-03-19	150	2025-03-07
1336	Milk	404	2025-03-09	45	2025-03-07
1337	Curd	282	2025-03-08	45	2025-03-07
1338	Paneer	148	2025-03-09	45	2025-03-07
1339	Butter	114	2025-03-10	45	2025-03-07
1340	Cheese	282	2025-03-08	45	2025-03-07
1341	Samosa	86	2025-03-18	15	2025-03-07
1342	Kachori	90	2025-03-18	15	2025-03-07
1343	Dhokla	169	2025-03-21	15	2025-03-07
1344	Vada Pav	127	2025-03-20	15	2025-03-07
1345	Pani Puri	231	2025-03-14	15	2025-03-07
1346	Cookies	295	2025-03-14	10	2025-03-07
1347	Masala Puri	497	2025-03-15	15	2025-03-07
1348	Samosa Chaat	177	2025-03-16	15	2025-03-07
1349	Small Mixture	100	2025-03-15	10	2025-03-07
1350	Tomato Ketchup	183	2025-04-16	10	2025-03-07
1351	Milk Bread	96	2025-03-17	20	2025-03-08
1352	Brown Bread	142	2025-03-15	20	2025-03-08
1353	Multigrain Bread	234	2025-03-16	20	2025-03-08
1354	Pav Bun	129	2025-03-19	20	2025-03-08
1355	Plain Cake	61	2025-03-16	150	2025-03-08
1356	Chilli Sauce	162	2025-04-28	10	2025-03-08
1357	Rasgulla	373	2025-03-09	35	2025-03-08
1358	Jalebi	157	2025-03-10	35	2025-03-08
1359	Soy Sauce	386	2025-04-25	10	2025-03-08
1360	Water	211	2025-04-09	10	2025-03-08
1361	Chocolate Cake	338	2025-03-22	150	2025-03-08
1362	Vanilla Cake	230	2025-03-19	150	2025-03-08
1363	Black Forest Cake	290	2025-03-17	150	2025-03-08
1364	Pineapple Cake	185	2025-03-21	150	2025-03-08
1365	Red Velvet Cake	207	2025-03-17	150	2025-03-08
1366	Milk	336	2025-03-11	45	2025-03-08
1367	Curd	326	2025-03-09	45	2025-03-08
1368	Paneer	74	2025-03-09	45	2025-03-08
1369	Butter	298	2025-03-11	45	2025-03-08
1370	Cheese	297	2025-03-11	45	2025-03-08
1371	Samosa	414	2025-03-19	15	2025-03-08
1372	Kachori	338	2025-03-19	15	2025-03-08
1373	Dhokla	395	2025-03-16	15	2025-03-08
1374	Vada Pav	245	2025-03-21	15	2025-03-08
1375	Pani Puri	495	2025-03-19	15	2025-03-08
1376	Cookies	439	2025-03-17	10	2025-03-08
1377	Masala Puri	487	2025-03-22	15	2025-03-08
1378	Samosa Chaat	289	2025-03-22	15	2025-03-08
1379	Small Mixture	341	2025-03-19	10	2025-03-08
1380	Tomato Ketchup	154	2025-04-30	10	2025-03-08
1381	Milk Bread	484	2025-03-19	20	2025-03-09
1382	Brown Bread	239	2025-03-22	20	2025-03-09
1383	Multigrain Bread	404	2025-03-21	20	2025-03-09
1384	Pav Bun	303	2025-03-17	20	2025-03-09
1385	Plain Cake	488	2025-03-23	150	2025-03-09
1386	Chilli Sauce	77	2025-04-09	10	2025-03-09
1387	Rasgulla	283	2025-03-10	35	2025-03-09
1388	Jalebi	284	2025-03-11	35	2025-03-09
1389	Soy Sauce	115	2025-05-06	10	2025-03-09
1390	Water	357	2025-05-06	10	2025-03-09
1391	Chocolate Cake	437	2025-03-21	150	2025-03-09
1392	Vanilla Cake	363	2025-03-19	150	2025-03-09
1393	Black Forest Cake	473	2025-03-23	150	2025-03-09
1394	Pineapple Cake	119	2025-03-18	150	2025-03-09
1395	Red Velvet Cake	127	2025-03-16	150	2025-03-09
1396	Milk	256	2025-03-11	45	2025-03-09
1397	Curd	352	2025-03-12	45	2025-03-09
1398	Paneer	198	2025-03-11	45	2025-03-09
1399	Butter	231	2025-03-12	45	2025-03-09
1400	Cheese	303	2025-03-10	45	2025-03-09
1401	Samosa	66	2025-03-20	15	2025-03-09
1402	Kachori	400	2025-03-17	15	2025-03-09
1403	Dhokla	103	2025-03-21	15	2025-03-09
1404	Vada Pav	420	2025-03-16	15	2025-03-09
1405	Pani Puri	154	2025-03-17	15	2025-03-09
1406	Cookies	219	2025-03-19	10	2025-03-09
1407	Masala Puri	127	2025-03-19	15	2025-03-09
1408	Samosa Chaat	316	2025-03-20	15	2025-03-09
1409	Small Mixture	249	2025-03-22	10	2025-03-09
1410	Tomato Ketchup	109	2025-04-13	10	2025-03-09
1411	Milk Bread	419	2025-03-17	20	2025-03-10
1412	Brown Bread	284	2025-03-24	20	2025-03-10
1413	Multigrain Bread	112	2025-03-17	20	2025-03-10
1414	Pav Bun	389	2025-03-19	20	2025-03-10
1415	Plain Cake	428	2025-03-23	150	2025-03-10
1416	Chilli Sauce	126	2025-05-07	10	2025-03-10
1417	Rasgulla	308	2025-03-13	35	2025-03-10
1418	Jalebi	312	2025-03-13	35	2025-03-10
1419	Soy Sauce	185	2025-04-11	10	2025-03-10
1420	Water	239	2025-04-24	10	2025-03-10
1421	Chocolate Cake	252	2025-03-22	150	2025-03-10
1422	Vanilla Cake	189	2025-03-20	150	2025-03-10
1423	Black Forest Cake	384	2025-03-22	150	2025-03-10
1424	Pineapple Cake	225	2025-03-24	150	2025-03-10
1425	Red Velvet Cake	78	2025-03-21	150	2025-03-10
1426	Milk	244	2025-03-13	45	2025-03-10
1427	Curd	394	2025-03-13	45	2025-03-10
1428	Paneer	91	2025-03-13	45	2025-03-10
1429	Butter	348	2025-03-11	45	2025-03-10
1430	Cheese	212	2025-03-13	45	2025-03-10
1431	Samosa	231	2025-03-23	15	2025-03-10
1432	Kachori	229	2025-03-23	15	2025-03-10
1433	Dhokla	307	2025-03-22	15	2025-03-10
1434	Vada Pav	96	2025-03-18	15	2025-03-10
1435	Pani Puri	150	2025-03-19	15	2025-03-10
1436	Cookies	334	2025-03-22	10	2025-03-10
1437	Masala Puri	239	2025-03-20	15	2025-03-10
1438	Samosa Chaat	487	2025-03-20	15	2025-03-10
1439	Small Mixture	452	2025-03-19	10	2025-03-10
1440	Tomato Ketchup	345	2025-04-28	10	2025-03-10
1441	Milk Bread	354	2025-03-19	20	2025-03-11
1442	Brown Bread	345	2025-03-25	20	2025-03-11
1443	Multigrain Bread	457	2025-03-18	20	2025-03-11
1444	Pav Bun	245	2025-03-24	20	2025-03-11
1445	Plain Cake	436	2025-03-21	150	2025-03-11
1446	Chilli Sauce	443	2025-04-19	10	2025-03-11
1447	Rasgulla	496	2025-03-13	35	2025-03-11
1448	Jalebi	339	2025-03-12	35	2025-03-11
1449	Soy Sauce	205	2025-04-27	10	2025-03-11
1450	Water	215	2025-05-03	10	2025-03-11
1451	Chocolate Cake	142	2025-03-21	150	2025-03-11
1452	Vanilla Cake	338	2025-03-24	150	2025-03-11
1453	Black Forest Cake	246	2025-03-23	150	2025-03-11
1454	Pineapple Cake	390	2025-03-19	150	2025-03-11
1455	Red Velvet Cake	138	2025-03-20	150	2025-03-11
1456	Milk	439	2025-03-12	45	2025-03-11
1457	Curd	299	2025-03-12	45	2025-03-11
1458	Paneer	213	2025-03-13	45	2025-03-11
1459	Butter	285	2025-03-14	45	2025-03-11
1460	Cheese	140	2025-03-13	45	2025-03-11
1461	Samosa	283	2025-03-24	15	2025-03-11
1462	Kachori	350	2025-03-24	15	2025-03-11
1463	Dhokla	145	2025-03-18	15	2025-03-11
1464	Vada Pav	223	2025-03-18	15	2025-03-11
1465	Pani Puri	442	2025-03-18	15	2025-03-11
1466	Cookies	95	2025-03-25	10	2025-03-11
1467	Masala Puri	291	2025-03-20	15	2025-03-11
1468	Samosa Chaat	414	2025-03-22	15	2025-03-11
1469	Small Mixture	167	2025-03-25	10	2025-03-11
1470	Tomato Ketchup	369	2025-04-18	10	2025-03-11
1471	Milk Bread	211	2025-03-24	20	2025-03-12
1472	Brown Bread	313	2025-03-23	20	2025-03-12
1473	Multigrain Bread	360	2025-03-26	20	2025-03-12
1474	Pav Bun	371	2025-03-21	20	2025-03-12
1475	Plain Cake	96	2025-03-23	150	2025-03-12
1476	Chilli Sauce	83	2025-05-07	10	2025-03-12
1477	Rasgulla	57	2025-03-14	35	2025-03-12
1478	Jalebi	180	2025-03-14	35	2025-03-12
1479	Soy Sauce	278	2025-05-02	10	2025-03-12
1480	Water	151	2025-04-25	10	2025-03-12
1481	Chocolate Cake	438	2025-03-24	150	2025-03-12
1482	Vanilla Cake	115	2025-03-20	150	2025-03-12
1483	Black Forest Cake	114	2025-03-23	150	2025-03-12
1484	Pineapple Cake	151	2025-03-19	150	2025-03-12
1485	Red Velvet Cake	184	2025-03-19	150	2025-03-12
1486	Milk	78	2025-03-13	45	2025-03-12
1487	Curd	379	2025-03-15	45	2025-03-12
1488	Paneer	342	2025-03-14	45	2025-03-12
1489	Butter	55	2025-03-14	45	2025-03-12
1490	Cheese	418	2025-03-14	45	2025-03-12
1491	Samosa	172	2025-03-24	15	2025-03-12
1492	Kachori	67	2025-03-21	15	2025-03-12
1493	Dhokla	349	2025-03-24	15	2025-03-12
1494	Vada Pav	187	2025-03-23	15	2025-03-12
1495	Pani Puri	287	2025-03-20	15	2025-03-12
1496	Cookies	496	2025-03-26	10	2025-03-12
1497	Masala Puri	239	2025-03-20	15	2025-03-12
1498	Samosa Chaat	112	2025-03-22	15	2025-03-12
1499	Small Mixture	381	2025-03-25	10	2025-03-12
1500	Tomato Ketchup	258	2025-04-17	10	2025-03-12
1501	Milk Bread	100	2025-03-21	20	2025-03-13
1502	Brown Bread	295	2025-03-23	20	2025-03-13
1503	Multigrain Bread	450	2025-03-20	20	2025-03-13
1504	Pav Bun	55	2025-03-22	20	2025-03-13
1505	Plain Cake	461	2025-03-23	150	2025-03-13
1506	Chilli Sauce	87	2025-04-12	10	2025-03-13
1507	Rasgulla	491	2025-03-14	35	2025-03-13
1508	Jalebi	324	2025-03-14	35	2025-03-13
1509	Soy Sauce	269	2025-04-14	10	2025-03-13
1510	Water	201	2025-04-14	10	2025-03-13
1511	Chocolate Cake	440	2025-03-26	150	2025-03-13
1512	Vanilla Cake	281	2025-03-27	150	2025-03-13
1513	Black Forest Cake	461	2025-03-23	150	2025-03-13
1514	Pineapple Cake	375	2025-03-27	150	2025-03-13
1515	Red Velvet Cake	204	2025-03-21	150	2025-03-13
1516	Milk	234	2025-03-14	45	2025-03-13
1517	Curd	494	2025-03-15	45	2025-03-13
1518	Paneer	471	2025-03-15	45	2025-03-13
1519	Butter	232	2025-03-15	45	2025-03-13
1520	Cheese	81	2025-03-14	45	2025-03-13
1521	Samosa	117	2025-03-27	15	2025-03-13
1522	Kachori	214	2025-03-26	15	2025-03-13
1523	Dhokla	105	2025-03-25	15	2025-03-13
1524	Vada Pav	218	2025-03-20	15	2025-03-13
1525	Pani Puri	425	2025-03-26	15	2025-03-13
1526	Cookies	78	2025-03-26	10	2025-03-13
1527	Masala Puri	242	2025-03-20	15	2025-03-13
1528	Samosa Chaat	62	2025-03-27	15	2025-03-13
1529	Small Mixture	244	2025-03-25	10	2025-03-13
1530	Tomato Ketchup	377	2025-04-25	10	2025-03-13
1531	Milk Bread	155	2025-03-22	20	2025-03-14
1532	Brown Bread	374	2025-03-21	20	2025-03-14
1533	Multigrain Bread	369	2025-03-23	20	2025-03-14
1534	Pav Bun	111	2025-03-23	20	2025-03-14
1535	Plain Cake	399	2025-03-28	150	2025-03-14
1536	Chilli Sauce	462	2025-05-09	10	2025-03-14
1537	Rasgulla	181	2025-03-16	35	2025-03-14
